areekdas,0,0,Sir u knw wht I dont knw westher i wud be able to meet with u @CaseyNeistat and u loving tall guy @LoganPaul in my life but u guys inspire me a heck lot..... i wish i cud had met u up in India !!! @CaseyNeistat nd @LoganPaul plz vist hea :'(,@CaseyNeistat @LoganPaul @CaseyNeistat @LoganPaul,,956314637368086528,https://twitter.com/areekdas/status/956314637368086528
erkash,0,1,"Bromance with Atul Sharma Prashant Deshwal — traveling to Indore, India from IGIA T3: Indira Gandhi... https:// fb.me/JiBMfnwP",,,956314610239397888,https://twitter.com/erkash/status/956314610239397888
_Gusttavo22,0,0,"Eai dedudo, Índia aqui kkkkk — Kkkkkk fala memo Índia maluca https:// curiouscat.me/Gusttavo71_/po st/298111210?1516838053 …",,,956314594544422912,https://twitter.com/_Gusttavo22/status/956314594544422912
RoyalNews24,0,0,India courts SE Asian nations to counter rise of China - https://www. royalnews24.com/india-courts-s e-asian-nations-to-counter-rise-of-china/ …,,,956314577183981568,https://twitter.com/RoyalNews24/status/956314577183981568
Praises2014,0,0,牧師、殺害される #India https:// twitter.com/persecutionnew s/status/955809895743356928 …,,#India,956314496070443008,https://twitter.com/Praises2014/status/956314496070443008
piyush_2911,0,0,"@ICC We today live in a world where every cricket team is a champion at home. A lot has to do with pitches highly in favour of home team be it India , SA, Aus or Eng. ICC needs to bring in sporting pitches for better viewership if we want Test cricket to survive.",@ICC,,956314483797901312,https://twitter.com/piyush_2911/status/956314483797901312
indiavolunteer,0,0,"Although India is considered to be a developing country where women are making their mark in almost all spheres of life, there are still many who are struggling to have a decent life. https://www. volunteeringindia.com/volunteer-wome n-empowerment.html … #women #Empowerment #volunteers",,#women #Empowerment #volunteers,956314449270509570,https://twitter.com/indiavolunteer/status/956314449270509570
michaelcoren,0,1,I'm so pleased! Enjoy India . Thanks.,,,956314444858101760,https://twitter.com/michaelcoren/status/956314444858101760
HustleFundBaby,1,2,"Join us in Mumbai, India Feb 27-28 for the http:// BlockchainForumIndia.com for @AxesAndEggs presentation on “ #Blockchain Medical Research Use Cases for Cures - a path to #FasterMiracles ” @CrowdieAdvisors @FasterMiracles @F8Obafemi #DLTHealth pic.twitter.com/iU9iEzLxIF",@AxesAndEggs @CrowdieAdvisors @FasterMiracles @F8Obafemi,#Blockchain #FasterMiracles #DLTHealth,956314444736458753,https://twitter.com/HustleFundBaby/status/956314444736458753
idansjnhewk2907,0,0,Ab INDIA change hoga........MODI G kei aanei sei.......,,,956314427246153728,https://twitter.com/idansjnhewk2907/status/956314427246153728
karanpujji,0,0,"I sometimes feel that - there is no reason left now, to be patriotic about this country other than Vijay Diwas and an India -Pakistan match.",,,956314420413526017,https://twitter.com/karanpujji/status/956314420413526017
bonaerense,0,56,"Estos ojos no pueden ser más lindos! No sé si recuerdan a este bebé, pero cuando yo todavía vivía en India sus papás me pidieron que lo adopte, ya que su hermanito mayor había muerto y ellos no querían que pasara lo mismo con él, temían por su salud. Les… http:// ift.tt/2rE1EhJ pic.twitter.com/G2GirquoWb",,,956314402155876353,https://twitter.com/bonaerense/status/956314402155876353
Rick52832518,0,1,india condition is worse than bangla desh bangla desh was playing better than india at least crossing 200 runs,,,956314401308491776,https://twitter.com/Rick52832518/status/956314401308491776
iamapoorvgupta,0,0,BJD suspends ‘rebel’ MP Panda | India News https:// thepoliticalindia.com/bjd-suspends-r ebel-mp-panda-india-news/ … pic.twitter.com/ZlNWmmqYpq,,,956314379686957057,https://twitter.com/iamapoorvgupta/status/956314379686957057
